id,item,barcode,code,rs,bdt
84,3-Piece Set,10033000590RS-817,0RS-817,0,4975.00
,,,,,
85,3-Piece Set,09121500590RS-447,0RS-447,0,6475.00
,,,,,
86,3-Piece Set,09101600590RS-347,0RS-347,0,6075.00
,,,,,
87,3-Piece Set,09101600590RS-162093,0RS-162093,0,5075.00
,,,,,
88,3-Piece Set,10010300590RS-488,0RS-488,0,7475.00
,,,,,
89,3-Piece Set,09103100590RS-21,0RS-21,0,7600.00
,,,,,
90,3-Piece Set,1001060059FIB-026,FIB-026,0,9250.00
,,,,,
91,3-Piece Set,0912120059FIB-010,FIB-010,0,12575.00
,,,,,
92,3-Piece Set,0910190059SM-25,SM-25,0,9000.00
,,,,,
93,3-Piece Set,0912120059FIB-017,FIB-017,0,11995.00
,,,,,
94,3-Piece Set,09102000590JM-37,0JM-37,0,7500.00
,,,,,
95,3-Piece Set,09101900590SM-34,0SM-34,0,9000.00
96,3-Piece Set,09101900590SM-36,0SM-36,0,10500.00
,,,,,
97,3-Piece Set,09101900590SM-41,0SM-41,0,8500.00
,,,,,
98,3-Piece Set,09102000590SM-9901,0SM-9901,0,9500.00
,,,,,
99,3-Piece Set,09101900590JM-35,0JM-35,0,7500.00
,,,,,
100,3-Piece Set,1001060059FIB-027,FIB-027,0,8048.00
,,,,,
101,3-Piece Set,09102000590VI-11,0VI-11,0,5190.00
,,,,,
102,3-Piece Set,10010300590RS-560,0RS-560,0,2575.00
,,,,,
103,3-Piece Set,09101900590RS-214,0RS-214,0,7600.00
,,,,,
104,3-Piece Set,09101900590SN-356,0SN-356,0,9900.00
,,,,,
105,3-Piece Set,09101900590SN-362,0SN-362,0,7200.00
,,,,,
106,3-Piece Set,09101900590SN-357,0SN-357,0,7200.00
,,,,,
107,3-Piece Set,09101900590SN-354,0SN-354,0,7200.00
,,,,,
108,3-Piece Set,09101900590SN-340,0SN-340,0,9000.00
,,,,,
109,3-Piece Set,09101900590SN-359,0SN-359,0,6900.00
,,,,,
110,3-Piece Set,09101600590VS-62,0VS-62,0,5995.00
,,,,,
111,3-Piece Set,09101600590VS-64,0VS-64,0,5995.00
,,,,,
112,3-Piece Set,09101600590VS-17,0VS-17,0,3575.00
,,,,,
113,3-Piece Set,09101600590VS-61,0VS-61,0,2950.00
,,,,,
114,3-Piece Set,09101600590VS-58,0VS-58,0,2950.00
,,,,,
115,3-Piece Set,09103100590VS-29,0VS-29,0,3500.00
,,,,,
116,3-Piece Set,1009170059AMN-7,AMN-7,0,7800.00
,,,,,
117,3-Piece Set,1006170059AMN-6,AMN-6,0,7800.00
,,,,,
118,3-Piece Set,1006290059AMN-0002,AMN-0002,0,2275.00
,,,,,
119,3-Piece Set,1008180059AMN-1006,AMN-1006,0,12999.00
,,,,,
120,LADIS BAG,0910210014MON-9911,MON-9911,0,3250.00
,,,,,
121,3-Piece Set,0910160059BBY-640,BBY-640,0,6390.00
,,,,,
122,3-Piece Set,1011110059BBY-3194,BBY-3194,"238,952.00",12195.00
,,,,,
123,3-Piece Set,1011110059BBY-3189,BBY-3189,"236,952.00",12695.00
,,,,,
124,3-Piece Set,1107270059BBY-18113,BBY-18113,"2,695.00",9375.00
,,,,,
125,3-Piece Set,1107270059BBY-18114,BBY-18114,"2,695.00",9375.00
,,,,,
126,3-Piece Set,1011110059BBY-3201,BBY-3201,"252,952.00",16395.00
,,,,,
127,3-Piece Set,1011110059BBY-3187,BBY-3187,"236,952.00",12695.00
,,,,,
128,3-Piece Set,1011110059BBY-3278,BBY-3278,"255,402.00",17175.00
,,,,,
129,3-Piece Set,1011110059BBY-3188,BBY-3188,"242,952.00",13385.00
,,,,,
130,3-Piece Set,1011110059BBY-3200,BBY-3200,"256,952.00",17595.00
,,,,,
131,3-Piece Set,1011120059BBY-3195,BBY-3195,"242,952.00",13395.00
,,,,,
132,3-Piece Set,1011120059BBY-3191,BBY-3191,"238,952.00",12195.00
,,,,,
133,JEWLERY,1109170070BKK-0701,BKK-0701,0,2250.00
,,,,,
134,TOPS,1106010064BKK-0629,BKK-0629,0,2550.00
,,,,,
135,TOPS,1106010064BKK-0631,BKK-0631,0,4375.00
,,,,,
136,T-SHIRT,1106010019BKK-0633,BKK-0633,0,3375.00
,,,,,
137,T-SHIRT,1106010019BKK-0634,BKK-0634,0,3375.00
,,,,,
138,T-SHIRT,1106010019BKK-0635,BKK-0635,0,3375.00
,,,,,
139,TOPS,1106160064BKK-0643,BKK-0643,0,2875.00
,,,,,
140,TOPS,1106160064BKK-0649,BKK-0649,0,3275.00
,,,,,
141,TOPS,1106160064BKK-0651,BKK-0651,0,2775.00
,,,,,
142,TOPS,1106160064BKK-0652,BKK-0652,0,2775.00
,,,,,
143,TOPS,1106160064BKK-0662,BKK-0662,0,4375.00
144,TOPS,1106160064BKK-0668,BKK-0668,0,5375.00
,,,,,
145,TOPS,1106160064BKK-0670,BKK-0670,0,2875.00
,,,,,
146,TOPS,1106160064BKK-0673,BKK-0673,0,1650.00
,,,,,
147,TOPS,1106160064BKK-0675,BKK-0675,0,3375.00
,,,,,
148,TOPS,1106160064BKK-0682,BKK-0682,0,2275.00
,,,,,
149,TOPS,1106160064BKK-0683,BKK-0683,0,2375.00
,,,,,
150,TOPS,1106160064BKK-0684,BKK-0684,0,2375.00
,,,,,
151,TOPS,1106160064BKK-0685,BKK-0685,0,2675.00
,,,,,
152,TOPS,1106160064BKK-0689,BKK-0689,0,3975.00
,,,,,
153,TOPS,1106160064BKK-0691,BKK-0691,0,3975.00
,,,,,
154,TOPS,1106160064BKK-0692,BKK-0692,0,1675.00
,,,,,
155,TOPS,1106160064BKK-0693,BKK-0693,0,1675.00
,,,,,
156,TOPS,1106160064BKK-0694,BKK-0694,0,1675.00
,,,,,
157,TOPS,1106160064BKK-0695,BKK-0695,0,1675.00
,,,,,
158,TOPS,1106160064BKK-0696,BKK-0696,0,1675.00
,,,,,
159,TOPS,1106160064BKK-0697,BKK-0697,0,1675.00
,,,,,
160,TOPS,1106160064BKK-0698,BKK-0698,0,1675.00
,,,,,
161,JEWLERY,1012250070BKK-0372,BKK-0372,0,1880.00
,,,,,
162,PANT,1102240026BKK-0541,BKK-0541,0,3250.00
,,,,,
163,PANT,1007100026BKK-0267,BKK-0267,0,2650.00
,,,,,
164,TOPS,1012110064BKK-0333,BKK-0333,0,3980.00
,,,,,
165,TOPS,1007080064BKK-0134,BKK-0134,0,1475.00
,,,,,
166,TOPS,1007080064BKK-0146,BKK-0146,0,1475.00
,,,,,
167,DUPATTA,1012200017BKK-0350,BKK-0350,0,1880.00
,,,,,
168,DUPATTA,1101100017BKK-0481,BKK-0481,0,2275.00
,,,,,
169,TOPS,1007070064BKK-0009,BKK-0009,0,2175.00
,,,,,
170,DUPATTA,1012200017BKK-0340,BKK-0340,0,1780.00
,,,,,
171,PANT,1007080026BKK-0214,BKK-0214,0,2275.00
,,,,,
172,TOPS,1007070064BKK-0008,BKK-0008,0,2175.00
,,,,,
173,PANT,1007100026BKK-0270,BKK-0270,0,2280.00
,,,,,
174,TOPS,1007080064BKK-0131,BKK-0131,0,2475.00
,,,,,
175,PANT,1007100026BKK-0268,BKK-0268,0,2480.00
,,,,,
176,PANT,1007080026BKK-0212,BKK-0212,0,2275.00
,,,,,
177,TOPS,1007080064BKK-0161,BKK-0161,0,1475.00
,,,,,
178,TOPS,1007080064BKK-0160,BKK-0160,0,1475.00
,,,,,
179,TOPS,1007080064BKK-0138,BKK-0138,0,1475.00
,,,,,
180,TOPS,1007080064BKK-0149,BKK-0149,0,1475.00
,,,,,
181,DUPATTA,1012200017BKK-0361,BKK-0361,0,1880.00
,,,,,
182,TOPS,1007080064BKK-0112,BKK-0112,0,2275.00
,,,,,
183,TOPS,1012110064BKK-0331,BKK-0331,0,3180.00
,,,,,
184,TOPS,1007080064KBB-0165,KBB-0165,0,1475.00
,,,,,
185,LAGINCE,1007080015BKK-0210,BKK-0210,0,1675.00
,,,,,
186,LAGINCE,1007080015BKK-0194,BKK-0194,0,1675.00
,,,,,
187,BELT,1007100025BKK-0253,BKK-0253,0,1490.00
,,,,,
188,BELT,1007100025BKK-0255,BKK-0255,0,1490.00
,,,,,
189,BELT,1007100025BKK-0258,BKK-0258,0,1490.00
,,,,,
190,BELT,1007100025BKK-0259,BKK-0259,0,1490.00
,,,,,
191,BELT,1007100025BKK-0265,BKK-0265,0,1490.00
192,PANT,1007100026BKK-0266,BKK-0266,0,2650.00
,,,,,
193,JEWLERY,1007100070BKK-0229,BKK-0229,0,999.00
,,,,,
194,JEWLERY,1007100070BKK-0220,BKK-0220,0,975.00
,,,,,
195,JEWLERY,1007100070BKK-0224,BKK-0224,0,975.00
,,,,,
196,TOPS,1111170064BKK-0290,BKK-0290,0,4375.00
,,,,,
197,TOPS,1111170064BKK-0546,BKK-0546,0,3875.00
,,,,,
198,DUPATTA,1012200017BKK-0352,BKK-0352,0,1880.00
,,,,,
199,TOPS,1102240064BKK-0495,BKK-0495,"1,228.00",2975.00
,,,,,
200,TOPS,1102240064BKK-0497,BKK-0497,"1,460.00",3250.00
,,,,,
201,TOPS,1102240064BKK-0505,BKK-0505,"1,460.00",3775.00
,,,,,
202,TOPS,1102240064BKK-0527,BKK-0527,"1,460.00",3850.00
,,,,,
203,TOPS,1102240064BKK-0530,BKK-0530,"1,228.00",1750.00
,,,,,
204,TOPS,1102240064BKK-0531,BKK-0531,"1,228.00",1750.00
,,,,,
205,TOPS,1102240064BKK-0532,BKK-0532,"1,228.00",1750.00
,,,,,
206,TOPS,1102240064BKK-0533,BKK-0533,"1,228.00",1750.00
,,,,,
207,TOPS,1102240064BKK-0535,BKK-0535,"1,228.00",1750.00
,,,,,
208,TOPS,1102240064BKK-0536,BKK-0536,"1,228.00",1750.00
,,,,,
209,TOPS,1102240064BKK-0537,BKK-0537,"1,228.00",1750.00
,,,,,
210,TOPS,1104070064BKK-0549,BKK-0549,"1,650.00",3875.00
,,,,,
211,TOPS,1104070064BKK-0551,BKK-0551,"1,650.00",3875.00
,,,,,
212,TOPS,1104070064BKK-0552,BKK-0552,"1,650.00",3875.00
,,,,,
213,TOPS,1104070064BKK-0553,BKK-0553,"1,650.00",3875.00
,,,,,
214,TOPS,1104070064BKK-0555,BKK-0555,"1,650.00",3975.00
,,,,,
215,TOPS,1104070064BKK-0556,BKK-0556,"1,650.00",3975.00
,,,,,
216,TOPS,1104070064BKK-0558,BKK-0558,"1,650.00",4950.00
,,,,,
217,TOPS,1104070064BKK-0560,BKK-0560,"1,650.00",4950.00
,,,,,
218,TOPS,1104070064BKK-0564,BKK-0564,"1,650.00",3975.00
,,,,,
219,TOPS,1104070064BKK-0565,BKK-0565,"1,650.00",3850.00
,,,,,
220,TOPS,1104070064BKK-0566,BKK-0566,"1,650.00",3850.00
,,,,,
221,TOPS,1104070064BKK-0567,BKK-0567,"1,650.00",3850.00
,,,,,
222,TOPS,1104070064BKK-0568,BKK-0568,"1,650.00",3850.00
,,,,,
223,TOPS,1104070064BKK-0569,BKK-0569,"1,650.00",3850.00
,,,,,
224,TOPS,1104070064BKK-0576,BKK-0576,"1,650.00",4375.00
,,,,,
225,TOPS,1104070064BKK-0577,BKK-0577,"1,650.00",4375.00
,,,,,
226,TOPS,1104070064BKK-0578,BKK-0578,"1,650.00",4375.00
,,,,,
227,TOPS,1104070064BKK-0580,BKK-0580,"1,650.00",5375.00
,,,,,
228,TOPS,1104070064BKK-0582,BKK-0582,"1,650.00",5375.00
,,,,,
229,TOPS,1104080064BKK-0584,BKK-0584,"1,650.00",3975.00
,,,,,
230,TOPS,1104080064BKK-0586,BKK-0586,"1,650.00",3975.00
,,,,,
